categories,creation_date,description,project
,2018-04-11 16:36,a dynamic portal to connect people to each other,BloodBank Management System
,2018-04-11 16:43,a portal connecting peoples,BloodBank Management System
,2017-11-16 12:48,"OGD based App for Listing blood bank , becoming a donor , List blood group of People in contact .",BloodBase
,2017-03-09 18:26,This is used for booking a room to schedule various events/lectures in schools/colleges,Book a room for any event
,2019-08-29 11:58,bootcamp_chennai_nic,bootcamp_chennai_nic
Geographic Information Systems,2018-05-08 19:53,British_India,British_India
Geographic Information Systems,2018-05-09 13:34,Bulandsahar,Bulandsahar
,2018-04-15 23:00,Bus Suvidha App,Bus Suvidha
,2019-09-13 11:39,cabinetsec,cabinetsec
,2019-04-08 12:26,Full calendar web component developed using StencilJS. This Calendar component supports adding events.,Calendar Web component
,2017-10-20 16:00,To help the patients who are in need of care takers,Care Taker
,2017-10-20 19:09,This app provides interactive forum for students(1-10). It also provides career guidance based on their interests.,Career-guidance-and-study-app
Geographic Information Systems,2018-05-08 17:09,CBSC_JEE,CBSC_JEE
,2018-09-06 13:35,"Cctns Api, Dashboard,Report",Cctns
,2019-11-01 14:32,Revamping of software development,CCTNS Rewamp
,2019-12-08 16:47,Helpful for Every Organization,Certificate Generator Software
,2020-04-18 17:53,https://www.dateresult.com/cfms-bill-status-check-citizen-bill-status,CFMS BILL STATUS
,2017-11-12 17:33,Project to distinguish between \\\'legitimate\\\' and \\\'fake\\\' news sources using a sophisticated,CGGS_Canada_Carleton_P9
,2020-07-20 22:07,Chaupal is a community building space.,chaupal
,2017-11-10 19:45,"Citizenfirewall aims to train, test and protect the cyber awareness of the people.",citizenfirewall
,2020-09-03 12:45,"Platform to view, score and co-create various public spaces in a city such as parks, streets and heritage areas.",CITYPOINTS -View and Score Public Spaces
,2019-09-13 10:25,Reduce needless switching of Clock,Clock Gating Circuit
,2017-03-09 23:55,Hi,cloudOperations
,2020-02-18 15:20,KPI wise details of all departments of Haryana,CM Dashboard Haryana
,2017-07-15 13:57,Looking for development of software for student attendance system @ college to sync data with app enabled platform,College Attendance System
,2019-09-23 13:04,CTD software rep,commercial taxes division
,2018-12-19 20:31,Government Compliance Ready WordPress theme.,Compliance Ready WP Theme
,2020-09-04 12:15,Conserve is a comprehensive decision support tool that integrates multitudes of water-data to create actionable insights for data-driven decision making and achieve water security in cities.,Conserve
,2017-10-06 09:47,"To Manage your All  Contacts, To Manage the Social media as well as the Physical media list and all friend list, Relative List, Professional List There link with the details of there family &amp; Friends.",Contact Management
,2021-01-04 17:17,Contact Management for managing customer services and experience.,Contact Management
,2020-03-18 14:36,"To study trends of corona cases among Indians
To examine contributing factors causing symptoms of corona
To study on precautionary measures on reducing corona",Contributing factors of corona in humans
,2020-05-30 12:56,Convert English numbers to Gujarati,Convert Number to Gujarati Script
,2020-03-26 22:18,Identifying corona infected,Corona kavach
,2018-04-05 15:12,An App to choose a best college and course that suits you.,Course Guide
,2020-04-05 18:10,covidpass application,covidpass
Health & Family welfare,2021-01-12 12:58,A Mobile App for Indians to get Covid-19 vaccine.,CoWIN
,2021-04-10 16:13,"The project intended to perform operations CREATE, READ, UPDATE, DELETE on the user database.",CRUD-APPLICATION
Geographic Information Systems,2018-12-21 14:43,National Mission on Cultural Mapping,Culture
Geographic Information Systems,2019-08-05 10:29,The project aims to address the necessity of preserving the threads of rich Indian Art and Cultural Heritage.,Culture New
,2017-11-10 21:22,"How To Use Safe Digital Life &amp; How to Investigation Fraud Banking Transaction , Social Site etc.",Cyber Safe Digital Life 
Geographic Information Systems,2019-04-02 15:50,Silvasa (GIS based planning management system),D&N Haveli_Silvasa
,2017-10-28 16:39,asdvfe,dafrv
,2019-07-30 13:23,The project contains sample client code in various technologies for the project dashboard application DARPAN of MeitY.,DARPAN Client
,2020-01-29 12:36,Testing on Openforge,dashu1584Test
,2017-10-07 14:57,Application for women safety,DEL186
,2019-11-25 10:42,Delhi Development Authority,Delhi Development Authority (DDA)
Geographic Information Systems,2019-10-14 17:04,To provide all the services of Delhi police at one app.,Delhi Police Tatpar_ios
Geographic Information Systems,2018-12-21 14:45,Delhi Police_onetouch,Delhi Police-onetouch
,2019-07-02 16:46,Its manage for everyday,DelhipoliceNative
,2019-09-23 16:01,Demo of features of Openforge,Demo
,2019-09-23 13:18,Demo,Demo Dreamland
,2019-08-29 12:13,demo_git_nic,demo_git_nic
,2017-04-21 23:40,online education at everyone\'s reach,deshraj yadav
,2017-11-16 11:11,"Project on super smart vehicle with electronic toll collection system, Face detection system, Anti-collision system.",Dheeraj Vadhwani
,2018-05-04 16:52,use code,Diasaster Management Institute
,2020-08-24 14:45,Digilcoker NDH Internship,Digilcoker NDH Internship
,2018-05-03 13:10,This project provides a sample DigiLocker Authorized Partner application in PHP created using DigiLocker Digiocker Authorized Partner API 0.7,DigiLocker Authorized Partner Demo App
,2021-05-07 16:13,Digilocker Documention Central,Digilocker Documention Central
,2016-08-08 10:45,"This is a source code for Push Model for Lohsar Grampanchayat given by Terasoft Technologies, Maharashtra.",Digilocker Issuer Model PHP (Lohsar)
,2016-08-08 10:47,"This is a source code for Push Model for Mirajgaon Grampanchayat given by Terasoft Technologies, Maharashtra.",DigiLocker Issuer Model PHP (Mirajgaon)
,2018-05-03 12:46,This project provides a sample DigiLocker Requestor application in PHP created using DigiLocker Requestor API 3.0.,DigiLocker Requestor App 3.0 (PHP)
,2019-07-17 14:54,An open source project for DigiLocker SDK.,DigiLocker SDK
,2018-03-31 10:28,"Online complain & alerts registration.
 
Addresses and details of M.C. offices & Gov. Hospitals.

Service locators like Police Station, Dustbin’s, Public Parking locators.

Online booking of Parking spots.

Health Q&A forum with crowdfunding for health problems.

Citizens Freelancing Employment.",Digital Citizen
Geographic Information Systems,2019-02-27 17:55,It\\\'s an outreach campaign that aims at spreading awareness about Digital India,Digital India Outreach (Meity)
,2020-01-29 11:49,RANDOMIZATION SOFTWARE,DIPR
,2020-02-12 10:33,"This project is for automatic release order of advertisements in newspapers for Department of Information, Public Relation and Languages.",DIPR
,2018-07-10 18:07,Directory as a Service to provide reference directories using APIs,Directory as a Service
,2017-07-26 12:39,"DND 2.0
The new release (built ground up) has the following additional features:
• An intelligent spam detection engine (for SMS only) to assist the subscriber in reporting
• Crowdsourcing of data about offending messages and calls to speed up detection of unregistered telemarketers
• Updates about action taken on complaints within the App",DND 2.0
,2017-10-03 16:52,this is helpful for users specially for rural areas where medical facilities are not properly available. we want to connect all doctors and patients or users on a single platform. where they can put their queries and these queries solve by the doctor. and this app also have many more functionalities,Doc-On-Door
,2017-11-09 18:39,Integrated Recourse for Digital Fraud Victims,DontWorry Digital Fraud
Geographic Information Systems,2019-12-06 14:44,To check effectiveness of Board for public sector enterprises.,DPE_Survey
,2017-11-10 14:21,Secured Mobile Payment  using lightweight Cryptographic Roulette algorithm.,Dr. Sobana
,2017-11-15 21:35,"USHER360 is a drone supported hardware which is clinging on the tower of a service provider, helps connectivity when a tower is collapsed and the total network fail.",drone router during earthquake
,2017-10-14 22:47,"The application focused on supporting dropout to get back to school/college, complete education and increase literacy rate of the country.",Dropout Support System
,2017-11-04 05:57,"Mobile app (GIS based) to find out Universities, Colleges, Standalone Institutions and related information i.e. Course Offered, Infrastructure etc.",DSFN
,2021-05-29 23:37,"Please fix this immediately by simply masking the mobile number on server-side instead of doing it on client-side. This is being exploited in wild since ever to harass people. 
Simple and single purpose PoC app built using React Native to demonstrate PII leak vulnerability in Delhi Traffic Police's notice payment website.",DTP Exploit PoC
,2019-10-16 16:46,NOC,Dummy_NOC_MOD
,2019-10-17 17:28,NOC_MOD_New,Dummy_NOC_MOD_New_test
,2018-08-19 13:37,Online portal for making initial application for lodging a first information report.,e First Information Report
Geographic Information Systems,2019-02-27 17:34,This project intends to provide Government services to citizens through Common Service Centers(CSC) which are easily accessible.,E-District & CSC\'s (Meity)
Governance & Administration,2017-10-07 14:05,"This project targets the garbage near you.
Point it out on map and get it picked.",E-GARBAGE TRACKER
,2018-11-16 07:42,"Have an issue with a govt department? Click and Find out who to contact, when to contact and where to contact.",e-grievances
,2019-04-09 14:25,Mobile based Advisory for Pest control.,e-Pest Surveillance & Pest Management
,2019-04-10 10:50,this  project for vidhanshaba question,eCabinet
,2019-08-05 15:21,all statistical information,economic survey
,2017-03-25 18:34,e-Governance Dashboard,eDashboard
,2020-01-29 12:55,edistrict is a Mission Mode Project,edistrict
,2017-11-03 00:29,"The application is based on education through the practical experience of building a Do It Yourself Robot which is build by us to provide a STEM education to everyone  where technical, non-technical and children can program it and play with it gain more IQ and they can build knowledge and interest in building technology in the future for the Nation towards world.",EducatingBot-HYD_257
,2017-10-28 16:52,"1.uiform standard course curriculum
2.GIS based app
3.well arranged data set",Eeducation
,2020-01-29 12:58,women e haat,ehaat
,2017-10-28 22:09,Automatic Intelligent transportation systems (AITS) have had a wide impact in people’s life as their scope is to improve transportation safety and mobility and to enhance productivity through the use of advanced technologies.,Elayaraj 
,2019-09-12 13:02,Automation of inner line permit to access obtaining permit for entering Arunachal Pradesh,Electronic Inner Line Permit
,2019-04-10 10:36,EMS,EMS
,2020-09-03 13:57,"The tool ‘ENABLE’ is an aid to visualize and analyze traffic patterns at a glance. The tool performs on the two
co-related parameters - Live data and Static data. The co-relation is the major highlight of the tool which differs from the
already existing tools which work usually on the live parameters. The co-related output results in the identification of real
issues of traffic congestion with respect to the location in the city. The tool consists of a dashboard and a data collection web
application.",ENABLE- Decision Making Tool for Traffic
,2017-05-09 16:54,This is a sample dot net code for qr code generator.,Encrypted QRCode(Dot Net)
,2020-09-03 13:15,"Project Involve is an initiative of four India Smart Cities Fellows (2019 cohort) to help city officials stay grounded with the needs of their citizens, and propose dynamic solutions to  improve the usability of citizen-friendly projects across cities in India. It seeks to mainstream citizen engagement at all stages of the project cycle.",Engaging People for Inclusive Cities
Governance & Administration,2017-10-28 12:24,eProcure,eProcure
,2017-10-03 10:25,It uses Open ePlatform framework for building eServices for Government Entities without using software coding,eServices Platform
,2019-07-24 14:58,esign,esign
,2016-12-16 12:09,"This is a ready java class that provides an easy way to interact with the eSign service provider, in order to perform eSign under Indian regulations.",eSign Integration (Java)
,2019-08-29 11:48,eSignTest,eSignTestProject
,2017-11-09 18:14,Fake news detection,FakeNewsDetector
,2019-11-27 18:58,A utility designed in C to sort your files automatically,File Classifier Tool
,2017-10-21 12:13,Our project is about the purification of water by removing the impurities and filtering the water.,Filter-Water-by-Statistical-Analysis
,2017-10-07 12:09,"FindMyPlaces makes navigating your world faster and easier. It helps you find nearby colleges, schools, banks, blood banks, police stations, restaurants, hospitals located within the vicinity of the user and provides many more interactive features.",FindMyPlaces
,2017-10-06 16:59,First Aid is a public service app that enables citizens to report the location of a road accident so that help can quickly arrive from nearby hospitals while limiting their involvement.,First Aid by How India Lives
,2019-04-10 10:56,Fisheries department code backup,Fisheries_Project
,2018-04-15 20:38,This project aims to reduce the amount of road accidents on the traffic by creating an awareness to the Driver.,GAMAN Version 2.0 
,2016-11-16 11:42,Gap analysis and identification of new projects on public schemes & projects.,Gap analysis and identification
,2018-04-15 18:08,It is made as a part of open data gov hack phase 2.,Garbo
,2017-11-13 11:33,"Respected sir,
I Biggest request you i am Gautam kumar gautam. I need a job. i am Belong to a middle class family .",GAUTAM KUMAR GAUTAM
,2017-09-11 12:57,Repository for GCCS 2017 web portal,GCCS 2017 Web Potal
,2017-11-22 01:14,"Developed detection algorithm to detect cyber attacks on ICS, and presented proof of concept.",GCCS-Aggies
,2017-11-11 12:58,To increase reachabilty of digital awareness.,GCCS-anonymous
,2017-11-10 17:04,.test,GCCS-ATM CARD HIJACKER
,2017-11-11 12:18,----,GCCS-CARD TEST
,2017-11-11 14:14,We address the frauds do by malicious person by pretending himself as an bank employee and threaten peoples to aces the account details along with OTP and do the illegal transactions. In all such frauds one thing is common that the device which verifies the OTP is different from the device which receives the OTP. Using this we deduce three solutions which prevents illegal transactions even after knowing of the OTP.,GCCS-CHANDIGARH-
,2017-11-12 20:40,For IoT security at physical level like hardware key is necessary insted of network or transfer layer security.,GCCS-CHANDIGARH-SPIDER-P3
,2017-11-11 08:34,GCCS-Delhi-RSJ-P1,GCCS-Delhi-RSJ-P1
Python,2017-11-11 11:02,A tool to lure Attackers in and gather information about their attacks and prevent them from gaining the insights about the actual system .,GCCS-Honeybee
,2017-11-12 08:06,WHITE_HATS means a person who hacks into a computer network in order to test or evaluate its \\\\\\\\\\\\\\\&quot;security systems\\\\\\\\\\\\\\\&quot;.we titled our project as white hats because our project is an android app which will save today\\\\\\\\\\\\\\\'s generation from cyber risks.,GCCS-IITHyderabad
,2017-11-10 18:26,hackathon,GCCS-IITPATNA
,2017-11-11 23:41,"This is a cloud based web application that will be set in any Social Media to detect abusive languages and trolls from post, images and videos and report the trollers according to there content policy",GCCS-IITPatna-Team No.2-Problem No.10
,2017-11-11 12:36,We propose a solution to protect navigation infrastructure from spoofing using artificial intelligence.,GCCS-NICK THE SPOOFER
,2017-11-16 02:25,Using simple and effective way for solving difficulties to identify fake news.,GCCS-T-amitsin6h-Fake-News
,2017-11-12 17:07,"A protection system to trap, monitor &amp; secure websites from malicious bots, crawlers &amp; hackers",GCCS_ Paris_ Astra_P8
,2017-11-11 12:14,"The main purpose of our project is to reduce cyber risks for child,as well as we provide the risk awareness and information security program for child as initial level to heir level.",GCCS_AMETHI_CYBERCURE_P06
,2017-11-11 12:33,The main objective of the project is to increase digital penetration in India by targeting rural and remote areas.It focuses different sector of society too.,GCCS_AMETHI_INCREDIBLETRIO_P13
,2017-11-11 11:10,"How to Use Safe Digital Life &amp; How-to Investigation Fraud Banking Transaction, Social Site etc.",GCCS_Cyber_Safe_Digital_Life_TSHYAM_P13
,2017-11-11 11:07,"RESOLVE TO CYBER RISK TO CHILD LIKE CYBER BULLING, CYBER PREDATOR, ETC.",GCCS_DELHI_ALOYSIUNGROUP_P06
,2017-11-11 11:42,In my project we are developing the awareness through digital in among the people through this we are able to access more and more digital fully country,GCCS_Delhi_Dominator_p13
,2017-11-16 00:48,The purpose of the project is to create awareness about cyber crimes and provide 24X 7 help and help cyber victims to report the crime.,GCCS_Delhi_P2
,2017-11-11 00:04,"Seamless, multi device, cloud based, advanced cyber security for every internet user",GCCS_Delhi_SafeHouse_Mobile Security
,2017-11-11 10:51,This app is one stop solution for all digital problems,GCCS_Delhi_Secugenius-CSAO
"Health & Family welfare$Science, Technology & Research$Transport & Infrastructure$Android$Linux$Windows$C++$Java$Python$API$Application$SDK",2017-11-15 16:55,Project for IOT based Emergency Response Service.,GCCS_Delhi_T1_P03
,2017-11-15 17:11,Project for IOT based Emergency Response Service.,GCCS_Delhi_T1_P03
Communications & Information Technology$Defence$Home affairs & National Security$Android$OS Independent$Windows$C$JavaScript$Python$Application$Framework$SDK,2017-11-15 18:33,The main goal of this project is to design a robotic vehicle which detects the metal around it such as weapons and send an SMS to the Server . It also detect the motion and click the pic at that moment and send it to the server.,GCCS_Delhi_T1_P03
,2017-11-11 10:03,It is an app created for GCCS Peace-a-thon to spread awareness about cyber security and provide help to cyber victims,GCCS_DELHI_TECH WIZARDS_P13
,2017-11-09 19:06,Integrated Recourse for Digital Fraud Victims,GCCS_DontWorry_IISC_11_DigitalFraud
,2017-11-11 11:33,"can be installed in any smart phone of 18below child. It monitors and examines all the activity of the user, if any explicit content (image, video…)is detected then it blocks the source and reports the same  to the parent body(as instructed during installation).",GCCS_Explicit Content Monitoring
,2017-11-10 19:31,Intelligent Roaming Intrusion Detection System for the 6LowPAN based IoT,GCCS_Guwahati_roaming_IDS
,2017-11-10 17:18,It is to reduce the possibility of GPS spoofing attack using time distributed strategy.,GCCS_Guwahati_T1_P1
,2017-11-11 15:22,it is all about how women can be secured online.(opinion dataming),GCCS_Guwahati_T2_P10
,2017-11-10 16:58,opinion mining of tweeter data for analysis about women trolling.,GCCS_Guwahati_T2_P10
,2017-11-10 17:36,"Using Big Data, we will implement \\\'Sentiment Analysis\\\' to analyze the veracity of the trending news.",GCCS_Guwahati_T3_P9
,2017-11-10 20:53,"Secure India is a platform which can be used by bank app/website developer to see latest security flaws in banks, see checklist for security, trending services, report bugs and many more.",Gccs_guwahati_T8_P4
,2017-11-11 09:43,HACKED Android App is a project developed in peace-a-thon for spreading Digital Awareness.,GCCS_HACKED-App-Digital-Awareness
,2017-11-12 12:23,"An ensemble of honeypots based on a web app running on the tor network for buying and selling things, Which gives an easy understanding of the techniques being used for attacking applications.",GCCS_Hyderabad_T01_P08
,2017-11-12 10:14,to detect whether a news is genuine or fake,GCCS_hyderabad_T03 _P09
,2017-11-12 09:39,"Project is about Fake news Detection,bot detection and authentication.",GCCS_Hyderabad_T3_P9
,2017-11-14 16:31,Monitor Online Sexual Abuse Against Children Using Deep Learning,GCCS_HYD_T1_P7
,2017-11-14 16:19,Monitor Online Sexual Abuse Against Children,GCCS_HYD_T1_P8
,2017-11-22 01:02,GCCS_Innobahia.ar,GCCS_Innobahia.ar
,2017-11-14 09:55,THE PROJECT IS BASICALLY A FULLY SECURED IoT BASED GREEN HOUSE SYSTEM FOR THE IMPROVEMENT IN PRODUCTIVITY AND QUALITY OF FARMING.,GCCS_JAIPUR_T1_P12
,2017-11-16 16:35,This project is a super smart vehicle with electronic toll collection system face recognition system and anti collision system.,GCCS_Mumbai_T1_P03
,2017-11-11 15:04,Real-time content monitoring using Image Processing and word filtering to prevent any inappropriate content to be shown. Filtering text to protect our children from abusive content available online. Using archives to track input and analyze it to detect unusual and suspicious behavior and warn the parents and the concerned ones accordingly.,GCCS_NightCoders
,2017-11-11 23:59,Purpose is to provide the means to the victims of child sexual abuse complain and raise their voice against such exploitation.,GCCS_Patna_Bhagalpur Tiger T17_P7
,2017-11-12 11:14,To create awareness about digital and cashless transactions “Use of Secondary ATM cum Debit Cards with daily limits” can be very useful.,GCCS_Patna_T10_P13
,2017-11-12 20:31,Designing a web script to Monitor Online Sexual Abuse Against Children,GCCS_PATNA_T11_P7
,2017-11-12 22:06,Monitor Online Sexual Abuse Against Children with Machine Learning and Deep Learning,GCCS_PATNA_T11_P7
,2017-11-12 20:20,Cyber Guardian is offering a solution for Women online security and its’ sole aim is to protect women against cyber trolling/bullying.,GCCS_Patna_T12_P10
,2017-11-12 21:54,Cyber Guardian is offering a solution for Women online security and its’ sole aim is to protect women against cyber trolling/bullying.,GCCS_Patna_T12_P10
,2017-11-12 22:05,Cyber Guardian is offering a solution for Women online security and its’ sole aim is to protect women against cyber trolling/bullying.,GCCS_Patna_T12_P10
,2017-11-12 20:35,We are providing deep learning technique to predict whether the news is fake or not. We designed an architecture which comprises of CNN (Convolutional Neural Network) and LSTM (Long Short Term Memory).,GCCS_Patna_T13_FakeNews
,2017-11-12 21:58,We are providing deep learning technique to predict whether the news is fake or not. We designed an architecture which comprises of CNN (Convolutional Neural Network) and LSTM (Long Short Term Memory).,GCCS_Patna_T13_FakeNews
,2017-11-12 15:45,"Our goal is to make a “Common Central Platform” for posting all the Digital payment issues
of the citizens in an automated way (also provision for un-automated means) and providing
them their solutions by a team of web-workers chosen by Indian Govt.
Our team has made a website prototype that will register the user and provide them the
userID. The user will have to select a category of the payment-issue and describe the
problem. The admin(i.e. team of workers) will provide the solution w.r.t. the problemID
along with the necessary contact details of the related authority. If the user wants to search
for the history of solutions then he/she can fetch the whole table consisting of solutions of
that problem category.",GCCS_PATNA_T1_P11
,2017-11-12 15:59,"Our goal is to make a “Common Central Platform” for posting all the Digital payment issues
of the citizens in an automated way (also provision for un-automated means) and providing
them their solutions by a team of web-workers chosen by Indian Govt.
Our team has made a website prototype that will register the user and provide them the
userID. The user will have to select a category of the payment-issue and describe the
problem. The admin(i.e. team of workers) will provide the solution w.r.t. the problemID
along with the necessary contact details of the related authority. If the user wants to search
for the history of solutions then he/she can fetch the whole table consisting of solutions of
that problem category.",GCCS_PATNA_T1_P11
,2017-11-12 16:31,"Our goal is to make a “Common Central Platform” for posting all the Digital payment issues
of the citizens in an automated way (also provision for un-automated means) and providing
them their solutions by a team of web-workers chosen by Indian Govt.
Our team has made a website prototype that will register the user and provide them the
userID. The user will have to select a category of the payment-issue and describe the
problem. The admin(i.e. team of workers) will provide the solution w.r.t. the problemID
along with the necessary contact details of the related authority. If the user wants to search
for the history of solutions then he/she can fetch the whole table consisting of solutions of
that problem category.",GCCS_PATNA_T1_P11
,2017-11-12 11:08,We propose a secured information (energy consumption) retrieval of data from smart meters that employs RS485 communication standard.,GCCS_Patna_T3_P3
,2017-11-12 13:31,To create awareness amongst widespread basis of the nations population,GCCS_Patna_T9_P13
,2017-11-13 18:04,"To create awareness amongst people abaout digital market, digital communications and its uses.",GCCS_Patna_T9_P13
,2017-11-09 18:39,Detection of Fake News,GCCS_Rakshak_IISc_p9_FakeNewsDetector
,2017-11-09 18:33,The Gen-next children now-a-day are technically well versed. Its our duty to educate the children about the pros cons of social networks and protect them from cyber-risks.This project provides a solution to protect children below 18 from being engaged in cyber-risk and bullying using age verification and parental monitoring,GCCS_Techperts_banglore_06_safe surfing
,2017-11-12 19:23,We want to spread awareness through Technology among children in INDIA as they need digital intelligence to use technology appropriately and responsibly.,GCCS_Techyology
,2017-11-11 09:58,USBit Secure Software is a project developed in peace-a-thon for Mitigating Public Sector Cyber Cascades.,GCCS_USBit-Secure
,2019-05-17 11:26,gem performace reports,GeM Performance
Geographic Information Systems,2018-12-21 14:50,"Geographical Indications of India, under DIPP ",Geographical Indications of India
,2017-10-04 18:12,"Assisting students for choosing any college, prepare for competitions or scholarships and getting a job.",GetCollege
,2017-10-04 18:26,"Assisting students for choosing any college, prepare for competitions or scholarships and getting a job.",GetCollege
,2018-04-05 16:43,"GetSet is a game based approach to career guidance. It tests the IQ, EQ and personality before telling the tailor-made career option for the students.
| Non Judgmental | Non Evaluated |Non Threading |",GETSET
,2019-10-16 16:46,Mobile Application to Provide Plot wise information about industries.,GIDC_Dahegam_Industry_Estate
,2020-04-15 14:19,GLIS base information for ministry of heavy industries,GLIS Heavy Industries
,2021-03-24 15:19,GOVERNMENT-LAND INFORMATION SYSTEM,GLIS-GOVERNMENT-LAND INFORMATION SYSTEM
,2021-03-19 17:28,GLIS_Urbanportal,GLIS_Urbanportal
,2017-05-26 11:48,"Search and visualize policy discussions at the UN General Assembly for any given topic.
Analyze data from thousands of resolutions to better understand the policy making process around a topic and country specific stances on it.

Front end (HTML, CSS and Javascript) code uses D3 and Bootstrap
Backend API code is in Python and uses a SQLite database to store resolution specific information",Global Policy
,2017-09-11 16:27,An open source accounting software for GST ready invoice creation and GST filling.,Goods and Service Tax Bee
,2017-11-11 22:56,"IoT Security Solution-Testing Hardware
The best way to minimize the hardware security challenges of internet of things is to have stringent testing framework in place. Here are our top picks for secured testing of hardware.",Gourav Saha
Communications & Information Technology,2018-02-28 11:28,GOVTALK is a mobile Appliaction.,GOVTALK
,2018-03-10 00:26,this is one of our client project,grango
,2020-08-27 11:17,"The major issue in using conventional passwords is Shoulder Surfing.In order to reduce the impact of Shoulder Surfing, we a team of three worked out two different ways of using graphical passwords.Using these two ways one can prevent Shoulder Surfing to a greater extent.",GraphicalPasswords-for-Shoulder-Surfing
,2020-09-03 13:25,Testing the platform,GraphSheet
,2019-10-11 16:21,Project is about Polling Booths mapping in GIS.,Gujarat Election 
,2019-10-18 15:15,gujarat.ncog.gov.in/indextb,Gujarat Land Bank(Indextb)
,2019-10-16 18:01,GujaratElection,GujaratElection
Geographic Information Systems,2019-04-03 10:15,This project aims at mapping the location of police stations across the state of Gujarat.,Gujarat_Police Station Mapping
Geographic Information Systems,2019-04-02 16:42,To provide elementary education free and to make it compulsory for every citizen of India.,Gujarat_Sarv Siksha Abhiyan
,2017-11-21 13:12,My Project,Hackthon Noida
,2020-01-29 12:31,Film Cell website for Department of Public Relation and Languages,Haryana Film Cell
Geographic Information Systems,2018-05-08 17:00,HaryanaElection,Haryana_Election
,2018-04-04 11:18,"Provide an interface between the doctor and the patient,making the keeping track of one\'s health easier.",Health app for the patients
,2018-04-04 11:28,"Provide an interface between the doctor and the patient,making the keeping track of one\\\'s health easier.",Health app for the patients
,2018-04-10 21:01,Heath APP,Health care
,2017-11-26 09:42,The infograps are used to display health economy,Health care economy in India
Health & Family welfare,2017-10-28 16:41,"This is web dashboard application which will show the visualization of some Health Indicators of a a different time period, source etc.",Health Indicator Analysis
Health & Family welfare,2017-05-29 16:31,Health Worker Monitoring System,Health Service Reporting System
Geographic Information Systems,2018-05-08 19:45,Health_Ayushman,Health_Ayushman
,2020-04-17 16:50,Get details of encroachment,HeavyIndustries
,2020-02-26 22:00,Hindawi Programming System is a suite of programming languages based on Indian languages,Hindawi Programming System
Geographic Information Systems,2018-05-09 11:24,Horticulture,Horticulture
,2017-09-23 17:30,govt. will rank the hospitals according to their performance and give better solution to people and make better options for common people through the webapp.,Hospital Performance Tracking System
,2019-08-05 13:02,HPPWD Website,HPPWD_Web
,2020-01-29 12:38,website for Haryana state commission for protection of child rights.,hryscpcr
,2020-01-29 12:56,HSIIDC esewa project,hsiidcesewa
,2018-07-19 16:04,Food app,HungersClick
,2017-10-16 11:08,It provides the Blood Donor Information accurately and reduce the time for searching a blood donor to near by location direct donor contact with required person,Idonor
Geographic Information Systems,2018-12-21 14:46,ids.ncog.gov.in,IDS
,2019-10-10 15:58,jfgkhgk,IIS_testing
,2020-06-29 14:42,IIS,IIS_Web_API
,2017-11-10 17:24,check,IIT Patna
,2019-07-19 17:22,Implement-Route-React,Implement-Route-React
,2019-07-19 17:23,ImplementRouteReact,ImplementRouteReact
,2020-09-18 00:24,Trading Platform to sell and buy dry waste.,India Waste EXchange
,2021-04-09 10:48,Its an archelogical monuments.,IndianHeritage
,2021-05-09 10:55,it has indian monuments.,IndianHeritageNew
,2017-10-06 10:46,for testing only,indugita
,2019-10-10 17:39,Industrial Information System,Industrial Information System
Geographic Information Systems,2019-03-27 15:17,To monitor industrial performance across India with the help of GIS technology.,Industrial Performance Monitoring System
Education & Training,2019-02-28 16:13,For ITI since the Institute does not have a website.,Industrial Training Institute Website
,2020-10-15 15:01,Industrial Information System,IndustrialInformationSystem
,2020-03-18 11:31,Industry Information System(IIS),Industry Information System
,2020-03-18 11:33,Industry Information System(IIS),Industry Information System
,2020-02-01 11:10,Missuse of network.,Integrated cyber security
,2021-06-02 09:52,Sample Test Projet,intern
,2019-10-15 15:35,This is an interns program,Interns Program
,2018-07-03 12:14,this is a dummy project for git training.,InternshipGitProject
,2017-11-11 12:49,"A large portion of the indo bangladesh border is covered by the river brahmaputra. These portions of the border has been a potential route of entrance by the bangladeshi immigrants for a long period of time. Pertaining to the inconvenience to get access to these border areas and various risks associated with it, it is not possible to incorporate man based security system. To cope up with this subtle issue, we propose to build a resilient and affordable mitigation system based on IoT and underwater WSN.",IoT based border patrolling 
,2017-11-11 13:24,"A large portion of the Indo- Bangladesh border is covered by the river Brahmaputra. These portions of the border has been a potential route of entrance by the bangladeshi immigrants for a long period of time. Pertaining to the inconvenience to get access to these border areas and various risks associated with it, it is not possible to incorporate man based security system. To cope up with this subtle issue, we propose to build a resilient and affordable mitigation system based on IoT and underwater WSN.",IoT based secure border patrolling
,2017-07-09 10:27,Simple examples on IOT platform connectivity,IOT Examples
,2017-11-25 15:02,This project is proposed to create an info graphic for crime data set that has been provided. The objective is to provide a good vizualizations of the data set that has been given,JABASHEELA
,2019-12-14 20:10,joe personal project,joe_project
,2019-07-18 13:43,KaiOS Application,KaiOS App
Geographic Information Systems,2019-04-02 15:42,GIS based planning management system,Kerala
,2018-08-01 20:46,Settings used for different sites.,KIIT Setting Repo
,2017-09-11 10:32,Transformation of KIIT into Modern digital platform,KIIT Website Development
,2017-11-25 10:16,Data analysis,kishore odugu online_219
,2020-11-26 09:25,This the openforge mirror of KochiOrgBook a network of verifiable organization for the city of Kochi,KochiOrgBook
